"Jeg har en cool profil";2007;"I won't be crying"
"Vi vil ikke ha' den licens";2007;"I kan ikke slå os ihjel"
"Morder";2007;"Mutter"
"Skriv ved DIKUs terminaler";2007;"Lay all your love on me"
"Den allersidste øl";2007;"Den allersidste dans"
"Jeg kender et sprog";2007;"Boten Anna"
"DIKUs Stolte Sale";2007;"Internationale"
"Studiespøgelsets klagesang";2007;"Welcome to the black parade"
"Kaptajn DIKU";2007;"Mighty Mouse"
"Hader DIG!";2007;"Fallen Leaves"
"Hvad skal vi TeXe i nat?";2007;"Hvor skal vi sove i nat?"
"Afskedssang";2007;"Moskau"
"DIKURevy nu";2006;"Tunak Tunak Tun"
"(Du gi'r mig) Virus";2006;"Fever"
"Hard Disk Hallelujah";2006;"Hard Rock Hallelujah"
"GUI";2006;"Blind Date"
"Så spiller vi spil";2006;"Viva Colonia"
"Kode ML";2006;"I feel pretty"
"Drik på vor Cafe";2006;"McNamaras Band"
"World of Warcrack";2006;"Sommeren er forbi"
"Sandhedens time";2006;"Eye of the Tiger"
"Doom Doom";2006;"Boom, boom"
"Amerikansk Datalogi";2005;"Amerika"
"En gammel bitter mands klagesang";2005;"Papas Sang"
"Hvor få vi er";2005;"Hvor små vi er"
"Her på DIKU";2005;"Halleluja"
"Gaymer Boi";2005;"Sk8ter Boy"
"Linieskriverdriversangen";2005;"Peberkagebagesangen"
"S-tog";2005;"This Love"
"Dispensationen";2005;"The Sick Note"
"AmagerDIKU";2005;"Himmelhunden"
"TeXer";2005;"Lækker"
"Bizar";2005;"Cigar"
"Ekamen er nu";2005;"Dragostea Din Tei"
"Velkommen til revyen";2004;"Livin' La Vida Loca"
"Stewards Institut";2004;"Stewards Pølsevogn"
"Mokkesangen";2004;"Min Babuschka"
"DIKU er et sted";2004;"Danmarkssangen"
"Den onde instruktor";2004;"The Curse of Milhaven"
"Studiestrukturstango";2004;"The Masochism Tango"
"Jeg dyrker HCI";2004;"Rollespilssangen"
"Alle går rundt og forelsker sig";2004;"Alle går rundt og forelsker sig"
"Den danske sangskat";2004;"Blæsten går frisk over Limfjordens vande"
"Den danske sangskat";2004;"Jylland mellem tvende have"
"Den danske sangskat";2004;"Marken er mejet"
"Jeg vil ikke kode mer'";2004;"I won't be there anymore"
"Vi koder kernen";2004;"My Way"
"Slaveprogrammørens sang";2004;"Play that funky music white boy"
"Åbningssang";2003;"Karn Evil 9, First Impressions, part 2"
"SML";2003;"Riv den af"
"Vi ryger en skævert";2003;"Nu Ruller Vi Alle"
"Mit Institut";2003;"My kind of town (Chicago)"
"Demokratiet er forbi";2003;"Crying"
"Glo på gud";2003;"Diggi-Loo, Diggi-Ley"
"Jeg går på DIKU";2003;"Rotterdam"
"Helt til C";2003;"Heal the world"
"Han Kan Bare Ikke Bestå";2003;"Monsoon"
"Kode Hele Natten";2003;"Proud Mary"
"DIKU revy";2002;"Sonny Soufflé"
"Bare en datalog";2002;"Gigolo"
"Bryg din egen kaffe selv";2002;"Dream a little dream of me"
"Dat0 igen";2002;"On The Road Again"
"Hvor'n havde du forventet";2002;"Hvad havde du forventet"
"Hovedfag i fysik";2002;"This is how you remind me"
"Roder med mig selv";2002;"Snakker med mig selv"
"Multimedie";2002;"Voldsom Volvo"
"Jen slide";2002;"VMTJ (togsangen)"
"Nu er der sommerfest";2002;"Just Can't Get Enough"
"DIKUREVY";2001;"Danmark"
"Tag på mig";2001;"Take on me"
"Dougals Adams Sang";2001;"American Pie"
"DatNulFunk";2001;"Rundfunk"
"Du er på DIKU nu";2001;"You're in the army now"
"Den sindssyge videnskabskvinde";2001;"Wuthering Heights"
"Vi lukker server'n ned";2001;"Vi maler byen rød"
"My Heart Belongs To DADA";2001;"My Heart Belongs To Daddy"
"Du er mit svar";2001;"Natural Woman"
"Stakkels VIP";2001;"Stakkels Jim"
"Hjemmehackeriet";2001;"Hjemmebrænderiet"
"Hvem vil ikke være datalog";2001;"Everybody wants to be a cat"
